"Opening","Plot","Tree.Num","Distance to Live Partner","Dominant or Codominant","Lat (N)","Long (W)","Elev (m)","BGC","Crown Volume (%)","Longest Branch (cm)","Height (m)","DBH (cm)","B (m)","% live needles","Notes/FH Condition","ringData.x","ringData.y"
"48Y","1","1",3.86,"co",50.51176,119.6779,1361,"MSdm3",60,100,11.5,11,5.2,0,"possible attrapellis; comandra at base","yes","yes"
"48Y","1","2",NA,"co",NA,NA,NA,NA,100,150,11.2,12.1,4.2,100,"attrapellis?","yes","yes"
"48Y","2","1",1.51,"co",50.1184,119.6779,1351,"MSdm2",100,110,11,10.4,3.2,20,NA,"yes","yes"
"48Y","2","2",NA,"co",NA,NA,NA,NA,100,180,11.2,11.9,3.7,100,NA,"yes","yes"
"48Y","3","1",0.91,"co",50.51174,119.67771,1351,"MSdm3",200,150,9.9,10.3,3.1,0,"catface","yes","yes"
"48Y","3","2",NA,"co",NA,NA,NA,NA,100,120,10.6,9.5,6.1,100,NA,"yes","yes"
"48Y","4","1",1.12,"co",50.51184,119.67753,1354,"MSdm3",60,130,12.7,10.9,4.5,0,NA,"yes","yes"
"48Y","4","2",NA,"dom",NA,NA,NA,NA,100,190,13.8,15.5,4.5,100,NA,"yes","yes"
"48Y","5","1",1.35,"co",50.51196,119.67726,1355,"MSdm3",120,185,12.8,15,2.7,25,NA,"yes","yes"
"48Y","5","2",NA,"co",NA,NA,NA,NA,100,150,12.2,12.7,4.8,100,"catface ++","yes","yes"
"48Y","6","1",1.1,"co",50.51155,119.67843,1352,"MSdm3",90,150,14.3,10.7,7.3,0,"catface","yes","yes"
"48Y","6","2",NA,"co",NA,NA,NA,NA,100,60,12.2,10.3,8,100,NA,"yes","yes"
"48Y","7","1",5.1,"co",50.51176,119.7844,1353,"IDFdk1",30,130,11.1,11.4,5.5,30,NA,"yes","yes"
"48Y","7","2",NA,"co",NA,NA,NA,NA,100,160,11.8,13.5,5.5,100,NA,"yes","yes"
"48Y","8","1",1,"co",50.51183,119.67831,1354,"MSdm3",30,90,11.4,11,7.2,0,NA,"yes","yes"
"48Y","8","2",NA,"co",NA,NA,NA,NA,100,110,12.8,12.2,7.5,100,"catface","yes","yes"
"48Y","9","1",0.8,"dom",50.51168,119.67622,1355,"MSdm3",25,150,14.9,15.2,5.4,0,"catface and frass","yes","yes"
"48Y","9","2",NA,"co",NA,NA,NA,NA,100,200,12.4,13.3,3.9,100,NA,NA,NA
"264","1","1",4.8,"co",49.46534,119.35136,1422,"MSdm1",130,200,16.2,19.1,5.7,20,NA,"yes","yes"
"264","1","2",NA,"co",NA,NA,NA,NA,100,170,16.2,17.1,5.3,95,NA,"yes","yes"
"264","2","1",1.9,"co",49.46519,119.35139,1425,"MSdm1",30,45,15.4,12.8,6.4,20,"catface","yes","yes"
"264","2","2",NA,"co",NA,NA,NA,NA,100,160,16.6,17.7,7,95,NA,"yes","yes"
"264","3","1",2.3,"co",49.46497,119.35149,1424,"MSdm1",70,45,14.7,12.3,7.6,0,NA,"yes","yes"
"264","3","2",NA,"co",NA,NA,NA,NA,100,100,13.3,11.7,8.4,100,NA,"yes","yes"
"264","4","1",5,"co",49.46507,119.35131,1421,"MSdm1",80,60,13.3,12.2,5.4,0,NA,"yes","yes"
"264","4","2",NA,"co",NA,NA,NA,NA,100,130,16,15.8,5.7,100,NA,"yes","yes"
"264","5","1",2.1,"co",49.46506,119.35139,1424,"MSdm1",60,40,13.7,14,5.2,0,NA,NA,NA
"264","5","2",NA,"co",NA,NA,NA,NA,100,100,14,13.9,8.2,90,"catface",NA,NA
"264","6","1",3.3,"co",49.46471,119.3512,1426,"MSdm1",80,70,15.5,14.6,9.4,0,"catface","yes","yes"
"264","6","2",NA,"co",NA,NA,NA,NA,100,90,15.3,14.8,8.2,90,NA,"yes","yes"
"264","7","1",3.4,"co",49.46556,119.35082,1419,"MSdm1",60,45,14.3,11.9,5.5,0,NA,"yes","yes"
"264","7","2",NA,"co",NA,NA,NA,NA,100,85,14.7,15.3,8,95,NA,"yes","yes"
"264","8","1",2.5,"co",49.46558,119.35034,1426,"MSdm1",100,85,16.7,17.2,3.6,0,NA,"yes","yes"
"264","8","2",NA,"co",NA,NA,NA,NA,100,115,13.9,13.2,5.8,100,"fork",NA,NA
"264","9","1",2.4,"co",49.46573,119.35023,1420,"MSdm1",140,120,15.5,14.8,2.6,0,NA,"yes","yes"
"264","9","2",NA,"co",NA,NA,NA,NA,100,190,15.4,16.4,6.3,100,NA,"yes","yes"
"264","10","1",3.6,"co",49.46606,119.3501,1420,"MSdm1",100,100,15.7,16.3,7.3,0,NA,"yes","yes"
"264","10","2",NA,"co",NA,NA,NA,NA,100,120,15.5,15.8,3,95,NA,"yes","yes"
"CarmiA","1","1",1.6,"co",49.44286,119.32227,1328,"MSdm1",70,45,11.5,11.9,4.2,0,NA,"yes","yes"
"CarmiA","1","2",NA,"dom",NA,NA,NA,NA,100,120,13,11.2,4.3,95,NA,"yes","yes"
"CarmiA","2","1",1.4,"co",49.44281,119.32218,1320,"MSdm1",30,40,12.9,9.9,10.2,0,NA,"yes","yes"
"CarmiA","2","2",NA,"co",NA,NA,NA,NA,100,120,12.3,12.1,8.8,100,NA,"yes","yes"
"CarmiA","3","1",1.1,"co",49.44283,119.32215,1320,"MSdm1",75,90,10.2,8.9,6.6,0,NA,"yes","yes"
"CarmiA","3","2",NA,"co",NA,NA,NA,NA,100,120,11.9,10.5,7.2,100,NA,"yes","yes"
"CarmiA","4","1",2.9,"co",49.44276,119.32208,1317,"MSdm1",50,70,13.2,11.3,6.2,2,NA,"yes","yes"
"CarmiA","4","2",NA,"co",NA,NA,NA,NA,100,120,14.5,14.2,8.9,100,NA,"yes","yes"
"CarmiA","5","1",1.6,"co",49.44272,119.32189,1311,"MSdm1",40,130,16.3,13.6,8.4,0,NA,"yes","yes"
"CarmiA","5","2",NA,"co",NA,NA,NA,NA,100,160,15.1,13.2,7.7,95,"scar","yes","yes"
"CarmiA","6","1",2.2,"co",49.44274,119.32169,1333,"MSdm1",80,100,13.7,12.2,8.8,0,NA,"yes","yes"
"CarmiA","6","2",NA,"co",NA,NA,NA,NA,100,100,14.7,11.5,9.2,98,NA,NA,NA
"CarmiA","7","1",1.4,"co",49.44289,119.32138,1318,"MSdm1",50,40,12.1,11.9,6.3,0,NA,"yes","yes"
"CarmiA","7","2",NA,"co",NA,NA,NA,NA,100,102,13.1,13.3,9,98,NA,"yes","yes"
"CarmiA","8","1",1.9,"co",49.44274,119.32156,1325,"MSdm1",80,70,13.7,9.3,8.9,25,NA,"yes","yes"
"CarmiA","8","2",NA,"co",NA,NA,NA,NA,100,110,14.5,12.7,8.4,100,NA,"yes","yes"
"CarmiA","9","1",2.9,"co",49.44291,119.32196,1321,"MSdm1",50,80,9.3,8.4,3,0,NA,"yes","yes"
"CarmiA","9","2",NA,"co",NA,NA,NA,NA,100,80,11.1,10.7,5.3,100,NA,"yes","yes"
"CarmiA","10","1",2.6,"co",49.443,119.32233,1320,"MSdm1",40,60,10,8.8,4.1,0,NA,"yes","yes"
"CarmiA","10","2",NA,"co",NA,NA,NA,NA,100,120,9.6,10.2,4.8,100,NA,"yes","yes"
"CarmiB","1","1",3.3,"co",49.44297,119.35085,1373,"MSdm1",70,50,14.9,12.6,9.7,0,NA,"yes","yes"
"CarmiB","1","2",NA,"co",NA,NA,NA,NA,100,75,15.2,15.7,8.6,85,NA,"yes","yes"
"CarmiB","2","1",2.8,"co",49.44317,119.35085,1375,"MSdm1",100,90,15.7,14.6,7.5,0,NA,"yes","yes"
"CarmiB","2","2",NA,"co",NA,NA,NA,NA,100,100,15.9,15.1,8.7,98,NA,"yes","yes"
"CarmiB","3","1",3.5,"co",49.44327,119.35119,1379,"MSdm1",90,120,15.5,16.8,9.4,0,"on rock - sub-xeric","yes","yes"
"CarmiB","3","2",NA,"co",NA,NA,NA,NA,100,120,14.6,18.3,9.2,98,"on rock - sub-xeric","yes","yes"
"CarmiB","4","1",3.2,"co",49.44333,119.35111,1381,"MSdm1",110,70,12.9,13.3,7.4,0,NA,"yes","yes"
"CarmiB","4","2",NA,"co",NA,NA,NA,NA,100,90,13.1,12.3,10.2,100,NA,"yes","yes"
"CarmiB","5","1",3.1,"co",49.44332,119.351,1376,"MSdm1",100,40,13.9,10.8,9.3,0,NA,"yes","yes"
"CarmiB","5","2",NA,"co",NA,NA,NA,NA,100,50,14.1,13.1,9.5,98,NA,"yes","yes"
"CarmiB","6","1",1.5,"co",49.44321,119.35105,1383,"MSdm1",100,90,16.8,16.5,9.2,0,NA,"yes","yes"
"CarmiB","6","2",NA,"co",NA,NA,NA,NA,100,90,16,14.5,11,100,NA,"yes","yes"
"CarmiB","7","1",1.6,"co",49.44308,119.3507,1384,"MSdm1",75,80,13.6,11.5,5.2,0,NA,"yes","yes"
"CarmiB","7","2",NA,"co",NA,NA,NA,NA,100,90,14.5,13.3,10.6,95,NA,"yes","yes"
"CarmiB","8","1",2.8,"co",49.44304,119.3511,1375,"MSdm1",120,130,15.6,17.8,7.3,0,NA,"yes","yes"
"CarmiB","8","2",NA,"co",NA,NA,NA,NA,100,120,16.4,19.1,9.3,80,NA,"yes","yes"
"CarmiB","9","1",1,"co",49.44309,119.3512,1375,"MSdm1",90,140,12.1,13.1,7.2,0,NA,"yes","yes"
"CarmiB","9","2",NA,"co",NA,NA,NA,NA,100,110,13.4,13.6,6.2,90,NA,"yes","yes"
"CarmiB","10","1",4.1,"co",49.44308,119.35117,1376,"MSdm1",50,90,13.1,13.1,7,0,NA,"yes","yes"
"CarmiB","10","2",NA,"co",NA,NA,NA,NA,100,150,13.1,15.8,6.9,90,NA,"yes","yes"
"CarmiB","11","1",1.2,"co",49.44271,119.35181,1386,"MSdm1",95,75,13.7,10.7,8.9,0,NA,"yes","yes"
"CarmiB","11","2",NA,"co",NA,NA,NA,NA,110,105,13.1,11.4,9.7,100,NA,"yes","yes"
"CarmiB","12","1",2.3,"co",49.44271,119.35168,1391,"MSdm1",120,100,12.5,11,7.8,0,NA,"yes","yes"
"CarmiB","12","2",NA,"co",NA,NA,NA,NA,100,70,15.3,10.1,8.1,100,NA,"yes","yes"
"CarmiB","13","1",3.6,"dom",49.44274,119.35196,1400,"MSdm1",100,160,15.3,16.6,6.1,0,NA,"yes","yes"
"CarmiB","13","2",NA,"dom",NA,NA,NA,NA,100,145,15.7,15,9.2,100,NA,"yes","yes"
"CarmiB","14","1",4.3,"co",49.44253,119.35211,1388,"MSdm1",80,90,15.5,13.5,12.3,0,NA,NA,NA
"CarmiB","14","2",NA,"co",NA,NA,NA,NA,100,90,16.2,15.2,11.7,100,NA,"yes","yes"
"CarmiB","15","1",1.2,"co",49.44242,119.35199,1391,"MSdm1",65,NA,14.7,13,11.7,0,NA,"yes","yes"
"CarmiB","15","2",NA,"co",NA,NA,NA,NA,100,NA,16.5,15.8,12.4,100,NA,"yes","yes"
"CarmiB","16","1",1.9,"co",49.44225,119.35215,1398,"MSdm1",140,80,13.2,11,6.8,0,NA,"yes","yes"
"CarmiB","16","2",NA,"co",NA,NA,NA,NA,100,120,14.2,11.5,11.4,100,NA,"yes","yes"
"CarmiB","17","1",0.5,"co",49.44222,119.35196,1402,"MSdm1",60,100,19.2,18.5,12,0,NA,"yes","yes"
"CarmiB","17","2",NA,"co",NA,NA,NA,NA,100,130,18.8,16.3,12.3,100,NA,"yes","yes"
